title,created_utc
Original Post - Post ID: 114382687269815844 Timestamp: 04-22-2025 01:01PM EST,2025-04-22 13:04:07
Original Post - Post ID: 114382298676759185 Timestamp: 04-22-2025 11:22AM EST,2025-04-22 11:24:01
Original Post - Post ID: 114382248962521077 Timestamp: 04-22-2025 11:10AM EST,2025-04-22 11:11:14
Original Post - Post ID: 114381682443037273 Timestamp: 04-22-2025 08:46AM EST,2025-04-22 08:48:28
Original Post - Post ID: 114379314291410399 Timestamp: 04-21-2025 10:43PM EST,2025-04-21 22:44:42
Original Post - Post ID: 114379025122605833 Timestamp: 04-21-2025 09:30PM EST,2025-04-21 21:30:59
Original Post - Post ID: 114378621352936756 Timestamp: 04-21-2025 07:47PM EST,2025-04-21 19:52:52
Original Post - Post ID: 114378612000951275 Timestamp: 04-21-2025 07:45PM EST,2025-04-21 19:50:13
Original Post - Post ID: 114378608726090688 Timestamp: 04-21-2025 07:44PM EST,2025-04-21 19:45:32
Original Post - Post ID: 114378371957337028 Timestamp: 04-21-2025 06:44PM EST,2025-04-21 18:46:02
